epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,326.1,1.41401,1.94893,1.53434,0.22981,0.36011,0.20641,0.08221,1.99707,2.57152,1.98408,0.00104231,0.00104231,0.00104231
43,333.663,1.35455,2.05118,1.51227,0.25044,0.29812,0.20394,0.0847,1.97478,2.58041,1.91733,0.00103288,0.00103288,0.00103288
44,341.268,1.34345,1.92012,1.50721,0.21428,0.28961,0.17203,0.06619,2.06304,2.60388,1.96119,0.00102345,0.00102345,0.00102345
45,348.734,1.37361,1.91448,1.50527,0.31558,0.40816,0.29754,0.13041,1.89268,2.37413,1.89109,0.00101402,0.00101402,0.00101402
46,356.222,1.31589,1.84152,1.45093,0.19361,0.32554,0.15654,0.07034,1.90777,2.94761,1.85893,0.00100459,0.00100459,0.00100459
47,363.597,1.29711,1.78366,1.45952,0.18419,0.29343,0.14899,0.06221,1.97194,3.29912,1.88245,0.000995156,0.000995156,0.000995156
48,372.783,1.36772,1.86084,1.49419,0.27337,0.29556,0.20073,0.08228,1.87386,2.98496,1.84522,0.000985724,0.000985724,0.000985724
49,381.063,1.36174,1.78357,1.4834,0.27172,0.28409,0.21663,0.09918,1.84439,2.5621,1.89675,0.000976293,0.000976293,0.000976293
50,388.571,1.34287,1.8369,1.47458,0.31261,0.37586,0.28537,0.13201,1.90651,2.52641,1.89522,0.000966861,0.000966861,0.000966861
51,396.116,1.31977,1.75305,1.47183,0.29177,0.3813,0.28734,0.13183,1.87629,2.70864,1.87664,0.00095743,0.00095743,0.00095743
52,403.588,1.35454,1.82086,1.47744,0.28773,0.42388,0.30736,0.14331,1.94474,2.54404,1.92624,0.000947999,0.000947999,0.000947999
53,411.192,1.24583,1.71171,1.41844,0.35355,0.45438,0.30903,0.1255,2.06115,2.55184,2.0417,0.000938567,0.000938567,0.000938567
54,418.684,1.32671,1.69672,1.46553,0.31205,0.40866,0.27842,0.11827,2.0089,2.42205,2.07452,0.000929136,0.000929136,0.000929136
55,426.136,1.25785,1.70643,1.40596,0.32909,0.3821,0.31058,0.13062,1.89675,2.51573,1.89133,0.000919704,0.000919704,0.000919704
56,433.636,1.32099,1.89355,1.44103,0.40007,0.38458,0.33743,0.14478,2.00166,2.7204,1.96429,0.000910273,0.000910273,0.000910273
